Version,Name,Start,End
Web Event,HoYoLAB Community Daily Check-In,1-Mar-21,Indefinite
Web Event,Facebook Limited-time Event 'Paimon's Quiz',13-Mar-21,16-Mar-21
Web Event,A Wanmin Welcome,16-Mar-21,25-Mar-21
Web Event,Invitation of Windblume Guide Contest,17-Mar-21,25-Apr-21
Web Event,TikTok Video Shorts Event,18-Mar-21,7-Apr-21
Web Event,Windblume Snapshots Community Photo Event,22-Mar-21,29-Mar-21
Web Event,A Thousand Questions With Paimon 2021-04-06,6-Apr-21,8-Apr-21
Web Event,Hilidream Camp,21-Apr-21,27-Apr-21
Web Event,To the Stars Once More,28-Apr-21,17-May-21
Web Event,Heart of Bedrock Fanart & Cosplay Submission Event,28-Apr-21,17-Jun-21
Web Event,Moments Among Mountains Zhongli Short Video Contest,12-May-21,19-May-21
Web Event,Windtrace Short Video Submission Event,14-May-21,24-May-21
Web Event,Fleeing Sunlight Klee Sticker Contest Event,2-Jun-21,13-Jun-21
Web Event,Midsummer Island Adventure Photo Contest,9-Jun-21,30-Jun-21
Web Event,Appreciation of Serenitea Serenitea Pot Submission Contest,11-Jun-21,30-Jun-21
Web Event,Distant Voyage,24-Jun-21,3-Jul-21
Web Event,A Thousand Questions With Paimon 2021-06-25,25-Jun-21,27-Jun-21
Web Event,Legend of the Vagabond Sword Challenge Video Submission Event,25-Jun-21,4-Jul-21
Web Event,Google Play Gift Card Collab-Event,1-Jul-21,30-Sep-21
Web Event,Traveler's Picture Book 2021-07-03,3-Jul-21,13-Jul-21
Web Event,Taste of Summer Fan Art Contest,9-Jul-21,23-Jul-21
Web Event,Mysterious Voyage,13-Jul-21,20-Jul-21
Web Event,Frostflake Heron Kamisato Ayaka Is Here! Participate in the Event to Win Merchandise~,19-Jul-21,21-Jul-21
Web Event,Twitch Streamer Recruitment 2021-07-21,21-Jul-21,4-Aug-21
Web Event,Version 2.0 Strategy Guides Contest,21-Jul-21,22-Aug-21
Web Event,Lightning Hunt - Inazuma Themed Photography Event,23-Jul-21,21-Aug-21
Web Event,Prime Gaming,26-Jul-21,5-Jan-22
Web Event,The Heron's Invitation,26-Jul-21,2-Aug-21
Web Event,Summer Night Mementos,5-Aug-21,11-Aug-21
Web Event,Theater Mechanicus Stage of Wonders Challenge Video Submissions,12-Aug-21,23-Aug-21
Web Event,A Thousand Questions With Paimon 2021-08-27,27-Aug-21,29-Aug-21
Web Event,Journeying Together,27-Aug-21,13-Sep-21
Web Event,The Promise of a Worldly Encounter Photo Contest,1-Sep-21,11-Oct-21
Web Event,"Version 2.1 ""Floating World Under the Moonlight"" Guide Contest",1-Sep-21,9-Oct-21
Web Event,Side by Side We Venture,1-Sep-21,12-Oct-21
Web Event,Hyakunin Ikki Challenge Video Submission Event,2-Sep-21,13-Sep-21
Web Event,Twitch Streamer Recruitment 2021-09-02,2-Sep-21,21-Sep-21
Web Event,Engraved Wishes,7-Sep-21,28-Sep-21
Web Event,Aloy Adventures in Teyvat - Webccomic Contest,14-Sep-21,20-Oct-21
Web Event,The Promise of a Worldly Encounter Fan Art Contest,16-Sep-21,17-Oct-21
Web Event,The Promise of a Worldly Encounter Video Contest,16-Sep-21,17-Oct-21
Web Event,HoYoFair,17-Sep-21,26-Sep-21
Web Event,The Promise of a Worldly Encounter Cosplay Contest,22-Sep-21,20-Oct-21
Web Event,An Unforgettable Journey,28-Sep-21,12-Oct-21
Web Event,Genshin Impact Anniversary Story Submission Event,28-Sep-21,12-Oct-21
Web Event,Recording Your Anniversary Memories,28-Sep-21,7-Oct-21
Web Event,A Message in Time,29-Sep-21,7-Oct-21
Web Event,Genshin Impact Raffle Event,3-Oct-21,7-Oct-21
Web Event,"GENSHIN CONCERT 2021 ""Melodies of an Endless Journey""",3-Oct-21,3-Oct-21
Web Event,Anniversary Congratulatory Art Repost Prize Giveaway,4-Oct-21,4-Oct-21
Web Event,Let's Solve Word Puzzles,7-Oct-21,13-Oct-21
Web Event,Aloy's Exploration Journal,13-Oct-21,27-Oct-21
Web Event,HoYoLAB x Prime Gaming Event: Tartaglia Is Back!,15-Oct-21,22-Oct-21
Web Event,Twitch Streamer Recruitment 2021-10-15,15-Oct-21,4-Nov-21
Web Event,Meeting of Light and Shadow Co-Op Photo Submission Contest,25-Oct-21,21-Nov-21
Web Event,Protector From Afar Thoma Is Here! Participate in the Event to Win Merchandise~,29-Oct-21,3-Nov-21
Web Event,Yummy! Barbecue Under the Stars,1-Nov-21,7-Nov-21
Web Event,HoYoLAB x Prime Gaming Event: Tsurumi Island Is Here!,4-Nov-21,11-Nov-21
Web Event,Silhouette Event,14-Nov-21,18-Nov-21
Web Event,A Thousand Questions With Paimon 2021-11-19,19-Nov-21,21-Nov-21
Web Event,Dance of the Shimmering Wave Eula Sticker Contest Event,23-Nov-21,6-Dec-21
Web Event,Twitch Streamer Recruitment 2021-11-24,24-Nov-21,13-Dec-21
Web Event,Kreideprinz Albedo Sticker Contest Event,24-Nov-21,7-Dec-21
Web Event,"Version 2.3 ""Shadows Amidst Snowstorms"" Strategy Guides Contest",24-Nov-21,3-Jan-22
Web Event,Adventurers’ Guild on Twitch,25-Nov-21,8-Dec-21
Web Event,Traveler's Picture Book 2021-12-03,3-Dec-21,13-Dec-21
Web Event,Let the Arataki Gang Show Begin!,9-Dec-21,13-Dec-21
Web Event,Canine Warrior Gorou Is Here! Participate in the Event to Win Merchandise~,11-Dec-21,15-Dec-21
Web Event,HoYoLAB x Prime Gaming Event: Arataki Itto Is Here!,16-Dec-21,23-Dec-21
Web Event,Vigilant Yaksha Xiao Fan Art Contest,28-Dec-21,17-Jan-22
Web Event,Version 2.3 Commemorative Lottery Event,28-Dec-21,3-Jan-22
Web Event,Enchanting Journey of Snow and Stars,29-Dec-21,9-Jan-22
Web Event,The Crane in the Clouds,31-Dec-21,4-Jan-22
Web Event,Stage Lucida Yun Jin Is Here! Participate in the Event to Win Merchandise~,2-Jan-22,5-Jan-22
Web Event,Fleeting Colors in Flight Version 2.4 Strategy Guides Contest,5-Jan-22,13-Feb-22
Web Event,Twitch Streamer Recruitment 2022-01-06,6-Jan-22,26-Jan-22
Web Event,Fleeting Colors in Flight Version 2.4 Fan Art Contest,7-Jan-22,14-Feb-22
Web Event,Genshin Impact Fan Art Program 2022,15-Jan-22,23-Jan-22
Web Event,Plenilune Gaze Ganyu Fan Art Contest,18-Jan-22,7-Feb-22
Web Event,Vago Mundo Zhongli Fan Art Contest,18-Jan-22,7-Feb-22
Web Event,The Great Banquet of the Adepti,28-Jan-22,6-Feb-22
Web Event,Festive Celebration of Flowing Hues,29-Jan-22,7-Feb-22
Web Event,"GENSHIN CONCERT Special Edition: ""Reflections of Spring""",4-Feb-22,4-Feb-22
Web Event,Paimon's Chocolate Factory,10-Feb-22,10-Mar-22
Web Event,Kitsune's Leisurely Stroll Around Hanamizaka,11-Feb-22,15-Feb-22
Web Event,When the Sakura Bloom Version 2.5 Strategy Guides Contest,16-Feb-22,27-Mar-22
Web Event,Astute Amusement Yae Miko Is Here! Participate in the Event to Win Primogems~,16-Feb-22,7-Mar-22
Web Event,Twitch Streamer Recruitment 2021-02-17,17-Feb-22,17-Mar-22
Web Event,Pearl of Wisdom Sangonomiya Kokomi Fan Art Contest,1-Mar-22,17-Mar-22
Web Event,Plane of Euthymia Raiden Shogun Fan Art Contest,1-Mar-22,17-Mar-22
Web Event,Taking Pictures and Recounting Good Times,3-Mar-22,TBA
Web Event,Divine Ingenuity Video Submission Event,3-Mar-22,21-Mar-22
Web Event,Raiden Shogun & Sangonomiya Kokomi Rerun: Take Part in the Topic Event to Win Primogems!,8-Mar-22,29-Mar-22
Mail Event,Launch Appreciation Rewards,28-Sep-20,11-Nov-20
Mail Event,Wings of Companionship,28-Sep-20,Indefinite
Mail Event,Thank You for Joining Us On This Journey,29-Sep-20,11-Nov-20
Mail Event,Night Sky's Grace,26-Feb-21,17-Mar-21
Mail Event,Savior From Another World Aloy,1-Sep-21,24-Nov-21
Mail Event,A Thank-You Letter to All Travelers (PlayStation Partner & Game Music 2021),4-Dec-21,7-Dec-21
Mail Event,A Thank-You Letter to All Travelers (Game Awards Mobile Game & Ongoing 2021),11-Dec-21,14-Dec-21
Mail Event,Flowing Lights and Colors,9-Feb-22,16-Feb-22
Submission Event,Moments Among Mountains Zhongli Short Video Contest,12-May-21,19-May-21
Submission Event,Windtrace Short Video Submission Event,14-May-21,24-May-21
Submission Event,Appreciation of Serenitea Serenitea Pot Submission Contest,11-Jun-21,30-Jun-21
Submission Event,Legend of the Vagabond Sword Challenge Video Submission Event,25-Jun-21,4-Jul-21
Submission Event,Taste of Summer Fan Art Contest,9-Jul-21,23-Jul-21
Submission Event,Frostflake Heron Kamisato Ayaka Is Here! Participate in the Event to Win Merchandise~,19-Jul-21,21-Jul-21
Submission Event,Version 2.0 Strategy Guides Contest,21-Jul-21,22-Aug-21
Submission Event,Lightning Hunt - Inazuma Themed Photography Event,23-Jul-21,21-Aug-21
Submission Event,Theater Mechanicus Stage of Wonders Challenge Video Submissions,12-Aug-21,23-Aug-21
Submission Event,The Promise of a Worldly Encounter Photo Contest,1-Sep-21,11-Oct-21
Submission Event,"Version 2.1 ""Floating World Under the Moonlight"" Guide Contest",1-Sep-21,9-Oct-21
Submission Event,Aloy Adventures in Teyvat - Webccomic Contest,14-Sep-21,20-Oct-21
Submission Event,The Promise of a Worldly Encounter Fan Art Contest,16-Sep-21,17-Oct-21
Submission Event,The Promise of a Worldly Encounter Video Contest,16-Sep-21,17-Oct-21
Submission Event,The Promise of a Worldly Encounter Cosplay Contest,22-Sep-21,20-Oct-21
Submission Event,Genshin Impact Anniversary Story Submission Event,28-Sep-21,12-Oct-21
Submission Event,Meeting of Light and Shadow Co-Op Photo Submission Contest,25-Oct-21,21-Nov-21
Submission Event,Protector From Afar Thoma Is Here! Participate in the Event to Win Merchandise~,29-Oct-21,3-Nov-21
Submission Event,Dance of the Shimmering Wave Eula Sticker Contest Event,23-Nov-21,6-Dec-21
Submission Event,Kreideprinz Albedo Sticker Contest Event,24-Nov-21,7-Dec-21
Submission Event,"Version 2.3 ""Shadows Amidst Snowstorms"" Strategy Guides Contest",24-Nov-21,3-Jan-22
Submission Event,Canine Warrior Gorou Is Here! Participate in the Event to Win Merchandise~,11-Dec-21,15-Dec-21
Submission Event,Vigilant Yaksha Xiao Fan Art Contest,28-Dec-21,17-Jan-22
Submission Event,Stage Lucida Yun Jin Is Here! Participate in the Event to Win Merchandise~,2-Jan-22,5-Jan-22
Submission Event,Fleeting Colors in Flight Version 2.4 Strategy Guides Contest,5-Jan-22,13-Feb-22
Submission Event,Plenilune Gaze Ganyu Fan Art Contest,18-Jan-22,7-Feb-22
Submission Event,Vago Mundo Zhongli Fan Art Contest,18-Jan-22,7-Feb-22
Submission Event,When the Sakura Bloom Version 2.5 Strategy Guides Contest,16-Feb-22,27-Mar-22
Submission Event,Astute Amusement Yae Miko Is Here! Participate in the Event to Win Primogems~,16-Feb-22,7-Mar-22
Submission Event,Pearl of Wisdom Sangonomiya Kokomi Fan Art Contest,1-Mar-22,17-Mar-22
Submission Event,Plane of Euthymia Raiden Shogun Fan Art Contest,1-Mar-22,17-Mar-22
Submission Event,Divine Ingenuity Video Submission Event,3-Mar-22,21-Mar-22
Submission Event,Raiden Shogun & Sangonomiya Kokomi Rerun: Take Part in the Topic Event to Win Primogems!,8-Mar-22,29-Mar-22
Discount Event,Sea Breeze Dandelion Discount,9-Jun-21,19-Jul-21
Discount Event,Opulent Splendor Discount,5-Jan-22,14-Feb-22
Battle Pass Event,Catch the Wind,28-Sep-20,10-Nov-20
Battle Pass Event,Fading Star,11-Nov-20,21-Dec-20
Battle Pass Event,Mountaineer's Endurance,23-Dec-20,1-Feb-21
Battle Pass Event,Lantern-Lit Sky,3-Feb-21,15-Mar-21
Battle Pass Event,Windborne Blossoms,17-Mar-21,26-Apr-21
Battle Pass Event,Realm of Diversion,28-Apr-21,7-Jun-21
Battle Pass Event,Marine Hues,9-Jun-21,19-Jul-21
Battle Pass Event,Divine Thunder,21-Jul-21,30-Aug-21
Battle Pass Event,Moonchaser,1-Sep-21,11-Oct-21
Battle Pass Event,Mystic Repose,13-Oct-21,22-Nov-21
Battle Pass Event,Shadowed Snowfall,24-Nov-21,3-Jan-22
Battle Pass Event,Oceansong,5-Jan-22,14-Feb-22
Battle Pass Event,Into the Shadows,16-Feb-22,28-Mar-22
Test Run Event,"Test Run - Venti, Barbara, Fischl",28-Sep-20,18-Oct-20
Test Run Event,"Test Run - Klee, Sucrose, Xingqiu",20-Oct-20,9-Nov-20
Test Run Event,"Test Run - Tartaglia, Diona, Beidou, Ningguang",11-Nov-20,1-Dec-20
Test Run Event,"Test Run - Zhongli, Xinyan, Razor, Chongyun",1-Dec-20,22-Dec-20
Test Run Event,"Test Run - Albedo, Fischl, Sucrose, Bennett",23-Dec-20,12-Jan-21
Test Run Event,"Test Run - Ganyu, Xingqiu",12-Jan-21,2-Feb-21
Test Run Event,"Test Run - Xiao, Diona, Beidou, Xinyan",3-Feb-21,17-Feb-21
Test Run Event,"Test Run - Keqing, Ningguang, Bennett",17-Feb-21,2-Mar-21
Test Run Event,"Test Run - Hu Tao, Xingqiu, Chongyun",2-Mar-21,16-Mar-21
Test Run Event,"Test Run - Venti, Sucrose, Razor",17-Mar-21,6-Apr-21
Test Run Event,"Test Run - Tartaglia, Rosaria, Fischl",6-Apr-21,27-Apr-21
Test Run Event,"Test Run - Zhongli, Yanfei, Diona",28-Apr-21,18-May-21
Test Run Event,"Test Run - Eula, Xinyan, Xingqiu, Beidou",18-May-21,8-Jun-21
Test Run Event,"Test Run - Klee, Sucrose, Fischl",9-Jun-21,29-Jun-21
Test Run Event,"Test Run - Kaedehara Kazuha, Rosaria, Bennett, Razor",29-Jun-21,20-Jul-21
Test Run Event,"Test Run - Kamisato Ayaka, Yanfei, Chongyun, Ningguang",21-Jul-21,10-Aug-21
Test Run Event,"Test Run - Yoimiya, Diona, Xinyan, Sayu",10-Aug-21,31-Aug-21
Test Run Event,"Test Run - Raiden Shogun, Kujou Sara, Sucrose",1-Sep-21,21-Sep-21
Test Run Event,"Test Run - Sangonomiya Kokomi, Rosaria, Beidou, Xingqiu",21-Sep-21,12-Oct-21
Test Run Event,"Test Run - Tartaglia, Ningguang, Chongyun, Yanfei",13-Oct-21,2-Nov-21
Test Run Event,"Test Run - Hu Tao, Thoma, Diona, Sayu",2-Nov-21,23-Nov-21
Test Run Event,"Test Run - Albedo, Eula, Bennett, Rosaria",24-Nov-21,14-Dec-21
Test Run Event,"Test Run - Itto, Gorou",14-Dec-21,4-Jan-22
Test Run Event,"Test Run - Shenhe, Xiao, Yun Jin, Ningguang, Chongyun",5-Jan-22,25-Jan-22
Test Run Event,"Test Run - Zhongli, Ganyu, Xingqiu, Beidou, Yanfei",25-Jan-22,15-Feb-22
Test Run Event,"Test Run - Yae Miko, Fischl, Diona, Thoma",16-Feb-22,8-Mar-22
Test Run Event,"Test Run - Raiden Shogun, Sangonomiya Kokomi, Bennett, Xinyan, Kujou Sara",8-Mar-22,29-Mar-22
Co-op Event,Elemental Crucible,12-Oct-20,19-Oct-20
Co-op Event,Unreconciled Stars,16-Nov-20,30-Nov-20
Co-op Event,The Chalk Prince and the Dragon,23-Dec-20,5-Jan-21
Co-op Event,Hypostatic Symphony,16-Jan-21,31-Jan-21
Co-op Event,Theater Mechanicus (Lantern Rite),10-Feb-21,28-Feb-21
Co-op Event,Wishful Drops,9-Apr-21,16-Apr-21
Co-op Event,Energy Amplifier Initiation,30-Apr-21,17-May-21
Co-op Event,Windtrace 2021-05-14,14-May-21,24-May-21
Co-op Event,Legend of the Vagabond Sword,25-Jun-21,8-Jul-21
Co-op Event,Theater Mechanicus: Stage of Wonders,12-Aug-21,26-Aug-21
Co-op Event,Windtrace 2022-01-13,13-Jan-22,27-Jan-22
Co-op Event,Fleeting Colors in Flight,25-Jan-22,12-Feb-22
